Название,Жанр,Режиссёр,Страна,Год,Длительность,Кинокомпания
Марикен из Неймегена,,Йос Стеллинг,",  , Нидерланды",,,", Jos Stelling Filmprodukties BV"
Жуки,,"John Allardice, 1",", США",,,
Невеста Дракулы,,Жан Роллен,", Франция",,,
Зелёный фургон,,Александр Павловский,",  , СССР",,,
Зелёный фургон,,Генрих Габай,",  , СССР",,,", Одесская киностудия"
Ziggy Stardust and the Spiders from Mars,,Донн Алан Пеннебейкер,",  , Великобритания",,,
Неизменчивое море,,Дэвид Уорк Гриффит,",  , США",,,", American Mutoscope & Biograph Company"
Знаменитые братья Бейкеры,,Стив Кловис,", США",,,", Gladden Entertainment, [вд]"
Знаменитость,,Вуди Аллен,",  , США",,,
Джамиля,,Ирина Поплавская,",  , СССР",,,
Неродившийся ребёнок,,"Родмен Флендер, 2",",  , США",,,
Зять из Бомбея,,Раджа Тхакур,",  , Индия",,,", Parijat Chitra"
Зюскинд,,Рудольф ван ден Берг,", Нидерланды",,,
